|           energy|                      jnu|
|           double|                   double|
|         Rydbergs|log10(erg/s/cm^2/Hz/ster)|
     709.158086288            -25.4736787269 
     743.892359902            -25.4828994139 
     780.195326096            -25.4921972051 
     818.749452722            -25.5016186641 
     858.876664355            -25.5112490504 
     901.353255074            -25.5211635245 
     945.298901328            -25.5312242559 
     991.694570552            -25.5415050134 
     1040.37919954            -25.5522276495 
     1091.46980582              -25.56324127 
     1145.09693501            -25.5746499627 
     1201.40822792            -25.5866161185 
      1260.3985351            -25.5994929019 
     1322.21146384            -25.6135969972 
     1387.22505843            -25.6285949745 
     1455.23497426            -25.6442402067 
     1526.66801957            -25.6606512813 
     1601.80724359            -25.6779896148 
     1680.37643533            -25.6965671586 
     1762.94861846            -25.7160027936 
     1849.53955933            -25.7362413299 
     1940.51989114            -25.7572429817 
     2035.89843807            -25.7790419857 
     2135.61786004            -25.8014919236 
     2240.63963826            -25.8244086012 
     2350.44658468            -25.8479688874 
     2466.21959643            -25.8722510449 
     2587.35985486            -25.8969623171 
     2714.53125076             -25.922202989 
     2847.71294025             -25.947596498 
     2987.76439633            -25.9733991604 
     3133.65935653            -25.9996444766 
     3288.58946546            -26.0259918506 
     3449.16026071            -26.0528622944 
     3619.01565083            -26.0800757576 
       3796.950587            -26.1078392159 
     3982.81530105            -26.1359978506 
     4178.21247538            -26.1643729074 
     4383.20414084            -26.1931028196 
      4600.0410948            -26.2215559878 
     4826.63210212            -26.2504982211 
     5062.60078267             -26.280374394 
      5310.4204014            -26.3106183408 
     5573.50544881            -26.3409748024 
     5845.20937062            -26.3714277934 
     6132.35626433             -26.402312197 
     6435.50946949             -26.433376832 
     6750.13437689            -26.4645453954 
      7080.5605352             -26.495866532 
     7426.79821418            -26.5277159094 
     7795.27922053            -26.5603525767 
      8180.1448912            -26.5930916834 
     8580.67929266            -26.6259789793 
     8995.73683001            -26.6594310336 
      9442.2147019             -26.693345175 
     9905.08848783             -26.727582018 
     10391.9277099            -26.7620496061 
     10902.9449734            -26.7966221671 
     11438.0336498            -26.8310192199 
     11999.8438357            -26.8653075338 
     12588.3152491             -26.899573625 
     13206.7846504            -26.9337869902 
      13855.376933            -26.9680620058 
     14536.1005085            -27.0030245114 
     15251.3496382            -27.0384894956 
     15998.3873048             -27.074049288 
     16785.1932378            -27.1097636698 
     17609.0462006             -27.146105252 
     18476.6451922            -27.1829639796 
     19380.4368541            -27.2198593902 
     20336.2673707            -27.2575721742 
      21331.183073            -27.2960209549 
     22378.8836169            -27.3351160083 
     23480.2406823            -27.3741232079 
      24635.526923            -27.4131964466 
     25844.2467635            -27.4531745603 
     27113.0062743            -27.4941190988 
     28441.5774307            -27.5353640656 
     29838.5114892            -27.5768431618 
     31304.2988966            -27.6185033348 
     32838.4915632            -27.6601670787 
     34452.4816968            -27.7017905908 
     36147.0900785            -27.7432768482 
      37922.103241             -27.784263699 
     39793.3685974            -27.8247923434 
     41743.8452075            -27.8651509574 
     43789.9154676            -27.9049144576 
     45954.0161815            -27.9431794224 
     48189.7483279             -27.980033693 
     50569.8191387            -28.0153052312 
     53042.3830547            -28.0491644656 
      55666.960347            -28.0811381899 
     58377.2031313            -28.1108932592 
        61241.1385            -28.1396035856 
     64264.3258731            -28.1677192273 
     67401.4897101            -28.1960570313 
     70750.6320559            -28.2239581928 
      74207.503329             -28.251746798 
     77819.6533629            -28.2797220709 
     81654.8513333            -28.3079043115 
     85726.0715786            -28.3355591812 
     89868.6529468            -28.3629751951 
     94314.6492321            -28.3905208847 
      98943.337772            -28.4182626936 
     103800.904531            -28.4461068387 
     108899.156415            -28.4737450948 
     114251.271424             -28.501319728 
     119856.391014            -28.5292046369 
     125744.189441             -28.557138484 
     131934.000417            -28.5844720413 
     138406.461252            -28.6117112673 
      145198.87522             -28.639322078 
     152335.028566            -28.6671925168 
     159815.528039            -28.6948855088 
