#Incident Continuum, Enr	nFn 
7.80986e-05	4.698e-02
7.84900e-05	4.720e-02
7.88833e-05	4.742e-02
7.92787e-05	4.763e-02
7.96760e-05	4.784e-02
8.00753e-05	4.805e-02
8.04766e-05	4.826e-02
8.08799e-05	4.846e-02
8.12852e-05	4.866e-02
8.16926e-05	4.886e-02
8.21020e-05	4.906e-02
8.25134e-05	4.925e-02
8.29270e-05	4.945e-02
8.33426e-05	4.964e-02
8.37602e-05	4.982e-02
8.41800e-05	5.001e-02
8.46019e-05	5.019e-02
8.50259e-05	5.037e-02
8.54520e-05	5.054e-02
8.58802e-05	5.071e-02
8.63106e-05	5.088e-02
8.67432e-05	5.105e-02
8.71779e-05	5.121e-02
8.76148e-05	5.137e-02
8.80539e-05	5.153e-02
8.84952e-05	5.168e-02
8.89387e-05	5.183e-02
8.93844e-05	5.198e-02
8.98323e-05	5.212e-02
9.02825e-05	5.226e-02
9.07350e-05	5.239e-02
9.11897e-05	5.252e-02
9.16467e-05	5.265e-02
9.21060e-05	5.278e-02
9.25676e-05	5.290e-02
9.30315e-05	5.301e-02
9.34978e-05	5.313e-02
9.39663e-05	5.323e-02
9.44372e-05	5.334e-02
9.49105e-05	5.344e-02
9.53862e-05	5.353e-02
9.58642e-05	5.363e-02
9.63446e-05	5.371e-02
9.68275e-05	5.380e-02
9.73127e-05	5.388e-02
9.78004e-05	5.395e-02
9.82905e-05	5.402e-02
9.87831e-05	5.409e-02
9.92782e-05	5.415e-02
9.97757e-05	5.421e-02
1.00276e-04	5.426e-02
1.00778e-04	5.431e-02
1.01283e-04	5.435e-02
1.01791e-04	5.439e-02
1.02301e-04	5.442e-02
1.02814e-04	5.445e-02
1.03329e-04	5.447e-02
1.03847e-04	5.449e-02
1.04367e-04	5.450e-02
1.04890e-04	5.451e-02
1.05416e-04	5.452e-02
1.05944e-04	5.452e-02
1.06475e-04	5.451e-02
1.07009e-04	5.450e-02
1.07545e-04	5.448e-02
1.08084e-04	5.446e-02
1.08626e-04	5.443e-02
1.09170e-04	5.440e-02
1.09717e-04	5.437e-02
1.10267e-04	5.432e-02
1.10820e-04	5.428e-02
1.11375e-04	5.422e-02
1.11933e-04	5.417e-02
1.12494e-04	5.410e-02
1.13058e-04	5.403e-02
1.13625e-04	5.396e-02
1.14194e-04	5.388e-02
1.14766e-04	5.380e-02
1.15341e-04	5.371e-02
1.15920e-04	5.361e-02
1.16500e-04	5.351e-02
1.17084e-04	5.341e-02
1.17671e-04	5.330e-02
1.18261e-04	5.318e-02
1.18853e-04	5.306e-02
1.19449e-04	5.293e-02
1.20048e-04	5.280e-02
1.20649e-04	5.266e-02
1.21254e-04	5.252e-02
1.21862e-04	5.237e-02
1.22472e-04	5.222e-02
1.23086e-04	5.206e-02
1.23703e-04	5.189e-02
1.24323e-04	5.173e-02
1.24946e-04	5.155e-02
1.25572e-04	5.137e-02
1.26202e-04	5.119e-02
1.26834e-04	5.100e-02
1.27470e-04	5.080e-02
1.28108e-04	5.060e-02
1.28750e-04	5.040e-02
1.29396e-04	5.019e-02
1.30044e-04	4.997e-02
1.30696e-04	4.976e-02
1.31351e-04	4.953e-02
1.32009e-04	4.930e-02
1.32671e-04	4.907e-02
1.33336e-04	4.883e-02
1.34004e-04	4.859e-02
1.34675e-04	4.834e-02
1.35350e-04	4.808e-02
1.36029e-04	4.783e-02
1.36710e-04	4.757e-02
1.37396e-04	4.730e-02
1.38084e-04	4.703e-02
1.38776e-04	4.676e-02
1.39472e-04	4.648e-02
1.40171e-04	4.619e-02
1.40873e-04	4.591e-02
1.41579e-04	4.561e-02
1.42289e-04	4.532e-02
1.43002e-04	4.502e-02
1.43718e-04	4.472e-02
1.44439e-04	4.441e-02
1.45162e-04	4.410e-02
1.45890e-04	4.379e-02
1.46621e-04	4.347e-02
1.47356e-04	4.315e-02
1.48094e-04	4.282e-02
1.48837e-04	4.250e-02
1.49582e-04	4.216e-02
1.50332e-04	4.183e-02
1.51085e-04	4.149e-02
1.51843e-04	4.115e-02
1.52604e-04	4.081e-02
1.53368e-04	4.047e-02
1.54137e-04	4.012e-02
1.54909e-04	3.977e-02
1.55686e-04	3.941e-02
1.56466e-04	3.906e-02
1.57250e-04	3.870e-02
1.58038e-04	3.834e-02
1.58830e-04	3.798e-02
1.59626e-04	3.761e-02
1.60426e-04	3.724e-02
1.61230e-04	3.688e-02
1.62038e-04	3.651e-02
1.62850e-04	3.613e-02
1.63666e-04	3.576e-02
1.64487e-04	3.539e-02
1.65311e-04	3.501e-02
1.66139e-04	3.463e-02
1.66972e-04	3.425e-02
1.67809e-04	3.387e-02
1.68650e-04	3.349e-02
1.69495e-04	3.311e-02
1.70344e-04	3.273e-02
1.71198e-04	3.235e-02
1.72056e-04	3.196e-02
1.72918e-04	3.158e-02
1.73785e-04	3.120e-02
1.74656e-04	3.081e-02
1.75531e-04	3.043e-02
1.76411e-04	3.004e-02
1.77295e-04	2.966e-02
1.78184e-04	2.927e-02
1.79077e-04	2.889e-02
1.79974e-04	2.850e-02
1.80876e-04	2.812e-02
1.81782e-04	2.774e-02
1.82693e-04	2.736e-02
1.83609e-04	2.697e-02
1.84529e-04	2.659e-02
1.85454e-04	2.621e-02
1.86383e-04	2.583e-02
1.87317e-04	2.546e-02
1.88256e-04	2.508e-02
1.89200e-04	2.470e-02
1.90148e-04	2.433e-02
1.91101e-04	2.396e-02
1.92058e-04	2.359e-02
1.93021e-04	2.322e-02
1.93988e-04	2.285e-02
1.94960e-04	2.248e-02
1.95938e-04	2.212e-02
1.96919e-04	2.176e-02
1.97906e-04	2.140e-02
1.98898e-04	2.104e-02
1.99895e-04	2.069e-02
2.00897e-04	2.033e-02
2.01904e-04	1.998e-02
2.02915e-04	1.963e-02
2.03932e-04	1.929e-02
2.04954e-04	1.894e-02
2.05982e-04	1.860e-02
2.07014e-04	1.826e-02
2.08051e-04	1.793e-02
2.09094e-04	1.759e-02
2.10142e-04	1.726e-02
2.11195e-04	1.694e-02
2.12253e-04	1.661e-02
2.13317e-04	1.629e-02
2.14386e-04	1.597e-02
2.15461e-04	1.566e-02
2.16540e-04	1.535e-02
2.17626e-04	1.504e-02
2.18716e-04	1.473e-02
2.19812e-04	1.443e-02
2.20914e-04	1.413e-02
2.22021e-04	1.384e-02
2.23134e-04	1.354e-02
2.24252e-04	1.325e-02
2.25376e-04	1.297e-02
2.26505e-04	1.269e-02
2.27640e-04	1.241e-02
2.28781e-04	1.213e-02
2.29928e-04	1.186e-02
2.31080e-04	1.160e-02
2.32238e-04	1.133e-02
2.33402e-04	1.107e-02
2.34572e-04	1.082e-02
2.35747e-04	1.056e-02
2.36929e-04	1.031e-02
2.38116e-04	1.007e-02
2.39309e-04	9.825e-03
2.40509e-04	9.587e-03
2.41714e-04	9.352e-03
2.42925e-04	9.121e-03
2.44143e-04	8.894e-03
2.45366e-04	8.671e-03
2.46596e-04	8.451e-03
2.47832e-04	8.235e-03
2.49074e-04	8.022e-03
2.50322e-04	7.813e-03
2.51577e-04	7.608e-03
2.52838e-04	7.407e-03
2.54105e-04	7.209e-03
2.55378e-04	7.015e-03
2.56658e-04	6.824e-03
2.57944e-04	6.637e-03
2.59237e-04	6.454e-03
2.60536e-04	6.274e-03
2.61842e-04	6.098e-03
2.63154e-04	5.925e-03
2.64473e-04	5.756e-03
2.65798e-04	5.590e-03
2.67130e-04	5.428e-03
2.68469e-04	5.269e-03
2.69815e-04	5.113e-03
2.71167e-04	4.961e-03
2.72526e-04	4.812e-03
2.73891e-04	4.666e-03
2.75264e-04	4.524e-03
2.76644e-04	4.385e-03
2.78030e-04	4.249e-03
2.79423e-04	4.116e-03
2.80824e-04	3.986e-03
2.82231e-04	3.860e-03
2.83645e-04	3.736e-03
2.85067e-04	3.616e-03
2.86496e-04	3.498e-03
2.87931e-04	3.383e-03
2.89374e-04	3.271e-03
2.90825e-04	3.163e-03
2.92282e-04	3.056e-03
2.93747e-04	2.953e-03
2.95219e-04	2.852e-03
2.96699e-04	2.754e-03
2.98185e-04	2.659e-03
2.99680e-04	2.566e-03
3.01182e-04	2.476e-03
3.02691e-04	2.388e-03
3.04208e-04	2.303e-03
3.05733e-04	2.220e-03
3.07265e-04	2.140e-03
3.08805e-04	2.062e-03
3.10352e-04	1.986e-03
3.11908e-04	1.912e-03
3.13471e-04	1.841e-03
3.15042e-04	1.772e-03
3.16621e-04	1.704e-03
3.18207e-04	1.639e-03
3.19802e-04	1.576e-03
3.21405e-04	1.515e-03
3.23015e-04	1.456e-03
3.24634e-04	1.399e-03
3.26261e-04	1.343e-03
3.27896e-04	1.290e-03
3.29540e-04	1.238e-03
3.31191e-04	1.188e-03
3.32851e-04	1.139e-03
3.34519e-04	1.092e-03
